시/도	시/군/구	지점번호	사물유형	이름
서울특별시	관악구	다사50193887	국가지점번호판(전용지주)
서울특별시	관악구	다사50233901	국가지점번호판(전용지주)
서울특별시	관악구	다사50343914	국가지점번호판(전용지주)	G62 전암 암장 가는길
서울특별시	관악구	다사50173913	국가지점번호판(전용지주)
서울특별시	관악구	다사50353956	국가지점번호판(전용지주)
서울특별시	관악구	다사50423954	국가지점번호판(전용지주)
서울특별시	관악구	다사50373936	국가지점번호판(전용지주)
서울특별시	관악구	다사52273869	국가지점번호판(전용지주)
서울특별시	금천구	다사47903761	가로등
서울특별시	금천구	다사47764190	국가지점번호판(전용지주)
서울특별시	금천구	다사48693826	국가지점번호판(전용지주)
서울특별시	금천구	다사48793847	국가지점번호판(전용지주)
서울특별시	금천구	다사48983872	국가지점번호판(전용지주)
서울특별시	금천구	다사49163884	국가지점번호판(전용지주)
서울특별시	금천구	다사49293899	국가지점번호판(전용지주)
서울특별시	금천구	다사49383910	국가지점번호판(전용지주)
서울특별시	금천구	다사49293919	국가지점번호판(전용지주)
서울특별시	금천구	다사48933981	국가지점번호판(전용지주)
서울특별시	금천구	다사48343999	국가지점번호판(전용지주)
서울특별시	금천구	다사48214040	국가지점번호판(전용지주)
서울특별시	금천구	다사48044087	기타
서울특별시	금천구	다사47813756	정자
서울특별시	금천구	다사47693805	정자
서울특별시	금천구	다사47913808	약수터(우물)
서울특별시	금천구	다사48183825	정자
서울특별시	금천구	다사48263823	약수터(우물)
서울특별시	금천구	다사48283833	정자
서울특별시	금천구	다사48023847	정자
서울특별시	금천구	다사47953854	정자
서울특별시	금천구	다사48403826	정자
서울특별시	금천구	다사48463842	약수터(우물)
서울특별시	금천구	다사48353852	약수터(우물)
서울특별시	금천구	다사49083913	정자
서울특별시	금천구	다사49073927	정자
서울특별시	금천구	다사48233990	기타
서울특별시	금천구	다사47914001	약수터(우물)
서울특별시	금천구	다사47844017	국가지점번호판(전용지주)
서울특별시	금천구	다사48403806	가로등
경기도	과천시	다사54473730	위치안내(표시)판	관악산입구
경기도	과천시	다사54143753	위치안내(표시)판	대피소아래
경기도	과천시	다사53973779	위치안내(표시)판	대피소
경기도	과천시	다사53873790	위치안내(표시)판	깔딱고개
경기도	과천시	다사53293832	위치안내(표시)판	제2약수터
경기도	과천시	다사53013828	위치안내(표시)판	산장
경기도	과천시	다사52763818	위치안내(표시)판	연주암
경기도	과천시	다사52603852	위치안내(표시)판
경기도	과천시	다사52643829	위치안내(표시)판	연주암헬기장
경기도	과천시	다사53673634	위치안내(표시)판
경기도	과천시	다사53683639	위치안내(표시)판
경기도	과천시	다사53703649	위치안내(표시)판	성묘
경기도	과천시	다사53273681	위치안내(표시)판	목교
경기도	과천시	다사53183706	위치안내(표시)판	마당바위
경기도	과천시	다사52913703	위치안내(표시)판
경기도	과천시	다사52883702	위치안내(표시)판
경기도	과천시	다사52753697	위치안내(표시)판
경기도	과천시	다사52453701	위치안내(표시)판	육봉 국기봉
경기도	과천시	다사52333740	위치안내(표시)판	팔봉능선입구
경기도	과천시	다사53323749	위치안내(표시)판	일명사지위
경기도	과천시	다사54163732	위치안내(표시)판
경기도	과천시	다사53743761	위치안내(표시)판
경기도	과천시	다사53613767	위치안내(표시)판
경기도	과천시	다사53433773	위치안내(표시)판
경기도	과천시	다사53283770	위치안내(표시)판	철탑 삼거리
경기도	과천시	다사53233777	위치안내(표시)판	다섯번째 철탑
경기도	과천시	다사53133794	위치안내(표시)판
경기도	과천시	다사52993798	위치안내(표시)판	두꺼비바위
경기도	과천시	다사52883802	위치안내(표시)판	여섯번째철탑
경기도	과천시	다사54433751	위치안내(표시)판	무당바위약수터
경기도	과천시	다사54443776	위치안내(표시)판	4코스 산불감시초소
경기도	과천시	다사53663839	위치안내(표시)판	4코스 두번째봉우리
경기도	과천시	다사53263868	위치안내(표시)판	용마골삼거리
경기도	과천시	다사53023875	위치안내(표시)판	관악문 아래사거리
경기도	과천시	다사54193784	위치안내(표시)판	4코스 첫번째봉우리
경기도	과천시	다사52393626	위치안내(표시)판	넝쿨숲
경기도	과천시	다사54183669	국가지점번호판(전용지주)
경기도	과천시	다사53843792	위치안내(표시)판	깔딱고개2
경기도	과천시	다사53583813	위치안내(표시)판	나무계단입구
경기도	과천시	다사53423820	위치안내(표시)판	제1약수터
경기도	과천시	다사53343825	위치안내(표시)판	제1~제2 약수터사이
경기도	과천시	다사52693828	위치안내(표시)판	연주암2
경기도	과천시	다사52603855	위치안내(표시)판
경기도	과천시	다사53123707	위치안내(표시)판
경기도	과천시	다사53123702	위치안내(표시)판
경기도	과천시	다사52673695	위치안내(표시)판
경기도	과천시	다사52653781	위치안내(표시)판	헬기장 전 갈림길
경기도	과천시	다사53283717	위치안내(표시)판	문원폭포~일명사지절터
경기도	과천시	다사52833855	위치안내(표시)판	관악사지~삼거리
경기도	안양시 동안구	다사51733698	국가지점번호판(전용지주)	불성사 방향 갈림길
경기도	안양시 동안구	다사51763762	국가지점번호판(전용지주)	봉계곡길
경기도	안양시 동안구	다사51873738	국가지점번호판(전용지주)
경기도	안양시 동안구	다사52233738	위치안내(표시)판	팔봉능선
경기도	안양시 동안구	다사52053769	위치안내(표시)판	봉계곡길2
경기도	안양시 동안구	다사52673794	위치안내(표시)판	헬기장2
경기도	안양시 동안구	다사52013717	위치안내(표시)판	불성사 밑
경기도	안양시 동안구	다사52383707	위치안내(표시)판	제1국기봉
경기도	안양시 동안구	다사51263652	위치안내(표시)판	소공원기점
경기도	안양시 동안구	다사52353740	위치안내(표시)판	제2국기봉
경기도	안양시 동안구	다사52443602	위치안내(표시)판
경기도	안양시 동안구	다사52373742	위치안내(표시)판	구 국기봉 / 팔봉 제2국기봉
경기도	안양시 만안구	다사49263872	국가지점번호판(전용지주)
경기도	안양시 만안구	다사50913729	국가지점번호판(전용지주)
경기도	안양시 만안구	다사50253816	위치안내(표시)판
경기도	안양시 만안구	다사50283717	위치안내(표시)판
경기도	안양시 만안구	다사48673815	위치안내(표시)판
경기도	안양시 만안구	다사49293899	국가지점번호판(전용지주)
경기도	안양시 만안구	다사49543882	국가지점번호판(전용지주)
경기도	안양시 만안구	다사49533703	위치안내(표시)판
경기도	안양시 만안구	다사50553708	위치안내(표시)판
경기도	안양시 만안구	다사49183889	위치안내(표시)판
경기도	안양시 만안구	다사48903860	위치안내(표시)판
경기도	안양시 만안구	다사49173671	위치안내(표시)판
경기도	안양시 만안구	다사50583737	위치안내(표시)판
경기도	안양시 만안구	다사50683721	위치안내(표시)판
